Tarama Tarihi,Fon Kodu,Fon Adı,Son Fiyat
2025-07-24,BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,BHI,BV PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,
2025-07-24,BIS,BV PORTFÖY BİRİNCİ SERBEST FON,
2025-07-24,BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,
2025-07-24,BLT,BULLS PORTFÖY ALTIN FONU,
2025-07-24,BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,
2025-07-24,BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,
2025-07-24,BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,
2025-07-24,BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,
2025-07-24,BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,
2025-07-24,BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,
2025-07-24,BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,
2025-07-24,CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,
2025-07-24,CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,
2025-07-24,CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,
2025-07-24,CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,
2025-07-24,CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,
2025-07-24,CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,
2025-07-24,CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,
2025-07-24,DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,
2025-07-24,DBA,DENİZ PORTFÖY ALTIN FONU,
2025-07-24,DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,
2025-07-24,DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,
2025-07-24,DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,
2025-07-24,DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,
2025-07-24,DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,
2025-07-24,DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,
2025-07-24,DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DDF,DENİZ PORTFÖY DİNAMO SERBEST FON,
2025-07-24,DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,
2025-07-24,DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,
2025-07-24,DFD,DENİZ PORTFÖY EMTİA SERBEST FON,
2025-07-24,DFI,ATLAS PORTFÖY SERBEST FON,
2025-07-24,DGH,ATA PORTFÖY ÜÇÜNCÜ SERBEST (TL) FONU,
2025-07-24,DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,
2025-07-24,DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,
2025-07-24,DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,
2025-07-24,DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,
2025-07-24,DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,
2025-07-24,DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,
2025-07-24,DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),
2025-07-24,DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,
2025-07-24,DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,
2025-07-24,DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,
2025-07-24,DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,
